disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CANDIDATE,6.97251,,2.01,,,0.6252,,239.506
CONFIRMED,4.1698,0.035,1.04,,5053.0,0.628461,0.802,436.488
CONFIRMED,4.16959,,1.1,,,,0.802,436.488
CONFIRMED,4.16888,,1.41,,,0.628,,436.488
CANDIDATE,12.3389,,2.11,,,0.628,,436.488
CANDIDATE,12.339133,,2.59,,4751.0,0.73,,436.488
CANDIDATE,2.89465,,1.75,,,0.702,,270.109
CANDIDATE,3.83794,,1.51,,,0.809,,155.4257
CANDIDATE,5.24086,,1.46,,,0.809,,155.4257
CANDIDATE,2790.0,,12.2,,5100.0,0.93,,409.502
CANDIDATE,8.91058,,2.8,,,1.028,,489.318
CANDIDATE,28.2692,,3.35,,5631.0,1.29,,399.976
CANDIDATE,28.270642,,2.79,,5545.0,0.9,,399.976
CANDIDATE,28.2671,,2.94,,,1.028,,399.976
CANDIDATE,28.271761,,2.7100633,,5548.0,0.933556,,399.976
CANDIDATE,28.2717,,,,5564.0,1.02594,0.98,399.976
CANDIDATE,4.73172,,1.7,,,1.028,,399.976
CANDIDATE,0.782022,,1.58,,,0.94,,442.991
CANDIDATE,0.78214992,,1.29,,5144.0,0.79,,442.991
CANDIDATE,15.4769,,2.89,,,0.66,,357.007
CANDIDATE,6.4498648,,2.63,,5395.0,0.85,,365.788
CANDIDATE,6.45027,,2.29,,,0.894,,365.788
FALSE POSITIVE,1.19478,,1.65,,3671.0,0.235,,303.404
FALSE POSITIVE,,,,,4786.0,0.7,,2140.25
FALSE POSITIVE,1.5771832,,33.4,,8210.0,1.94,,273.796
FALSE POSITIVE,1.57753,,26.0,,7747.0,1.93,,273.796
CANDIDATE,3.262038,,,,10318.0,5.27397,,2085.72
CANDIDATE,4.4654,,45.0,,,2.3,,917.554
CANDIDATE,21.140574,,31.5,,6205.0,1.29,,1800.02
CANDIDATE,5.74372,,,,,,,6091.77
CANDIDATE,3.2923818,,19.6,,7824.0,1.87,,4958.48
CANDIDATE,6.90487,,53.0,,6599.0,1.45,,2183.17
CANDIDATE,6.905053,,,,,,,2183.17
CANDIDATE,6.9055211,,33.6,,6722.0,1.89,,2183.17
CANDIDATE,1.696374,,35.3,,,1.793,,2257.74
CANDIDATE,3.046136,,76.0,,,1.698,,264.567
CANDIDATE,3.0459383,,19.0,,5529.0,0.89,,264.567
CANDIDATE,3.04622,,29.0,,5529.0,0.89,,264.567
CANDIDATE,3.23792,,,,4500.0,0.639668,0.707,127.188
CANDIDATE,3.238542,,1.67,,4446.0,0.69,,127.188
CANDIDATE,3.2367,,1.58,,4863.0,0.74,,127.188
CANDIDATE,6.2719092,,60.0,,7254.0,1.81,,2668.14
FALSE POSITIVE,23.7782,,98.0,,7498.0,2.09,,401.292
CANDIDATE,1.42636,,6.66,,,4.28,,1062.67
CANDIDATE,3.979287,,37.5,,7430.0,1.84,,713.075
CANDIDATE,2.1417519,,86.2,,6492.0,1.59,,471.459
CANDIDATE,2.86136,,,,3697.0,0.50129,0.499329,161.444
CANDIDATE,3.10622,,,,3636.0,0.501135,0.499177,182.319
